"","test003017271018","test003017273008","test003017273009","test003017273010","test003017273011","test003017273012","test003017273013","test003017273014","test003017273015","test003017273016","test003017273017","test003017273018","test003017273019","test003017273020","test003017273021","test003017273022","test003017273023","test003017273024","test003017273025","test003017273026","test003017273027","test003017273028","test003017273029","test003017273030","test003017276019","test003017276020","test003017276021","test003017276022","test003017276023","test003017276024","test003017276025","test003017276026","test003017276027","test003017276028","test003017276029","test003017276030","test003017277026","test003017277027","test003017277028","test003017277029","test003017277030","test003017278001","test003017278002","test003017278003","test003017278004","test003017278005","test003017278006","test003017278007"
"1367462_at",38.3569185529132,39.3837601460644,34.2931506781147,35.6827543424183,42.34803683359,42.6768024273393,33.9172151881419,29.7168411619958,38.1138911591331,45.755606867062,43.7958539805807,44.4268904786534,47.4728271043905,39.533517393497,44.018657591887,51.0945108562494,38.6784947126235,40.5157804346111,50.968043848923,49.3942478170415,48.9674560087988,52.8643555662679,65.9521510259786,46.7183743106515,37.6372202482509,48.2368749217293,40.1831673122435,40.108241094358,36.4014886426325,41.3531772926351,48.7697033516361,37.6808825505336,32.6534964713783,37.8724921623544,30.7867351363637,27.6639479300701,45.143026405836,47.2116881333551,45.61343663632,48.9576717301545,34.3067300798998,37.1123721626733,39.9254148652624,50.0931336644306,41.9003625593268,46.404726735465,45.3223642075334,35.0461005523558
"1367463_at",65.3649451451682,52.1668277270599,57.6623468696247,63.8588511281684,60.3873586392538,61.0710590506213,53.790523911788,72.7889145819877,78.9174907951677,65.1300958005424,67.0677384632842,71.6698511066958,75.4522066718638,77.6675983372007,70.5685459967486,65.5157838824279,84.0902500938432,68.4225760566632,62.6941731919869,68.3032632598519,82.6935616451021,57.5246933223124,70.8226575304763,64.0165321015344,77.4878378400712,75.5248149931728,72.6255786905746,53.0741057155921,58.5095011946984,60.9229124231643,62.8148137178833,64.4370425768437,75.705020799055,58.7997092744946,71.0265171581899,54.1898219455551,68.5947157376281,84.7075316462151,52.5762406912401,78.2947287278635,69.7714898427819,85.0049343900347,67.7728079673101,73.5290569695797,76.7522086391913,79.3459843181655,82.4799742572948,70.3892593052155
"1367464_at",14.9520078129858,16.5946445800497,16.629210112028,16.4773499409552,15.2113627564565,17.1077464968093,16.9333337232903,16.7014346448666,16.9928373449588,17.8023759567571,17.8932889833005,17.5092850589639,22.10204022642,20.0126522227929,20.8916563702077,21.2886613477088,20.4870928927806,20.2369290979241,20.8002525261685,22.2360039016456,22.5957366534039,21.4197924988688,20.4213772558725,20.5884798983536,21.7456130544512,21.1558988261687,22.5043160523622,18.1335160032932,19.5902651303887,19.0106740842002,22.5995210139634,22.9515505573177,20.6934171830471,22.8082786385103,22.0574351541902,22.4067608620524,17.7918805810253,22.3021032520794,19.7340207976184,19.8320957177641,19.2281849608921,18.6198580001221,18.6459789563017,18.8020271162552,18.7673710802665,19.3307519597046,18.531394050659,17.4747930464047
"1367465_at",31.4030772559837,36.2832761546831,32.1927596339929,35.0705377025109,34.4290888777855,33.1595815095093,33.9193824773116,34.084758605436,37.4687191463801,35.0452587847617,41.153894423918,30.3880536683378,37.8731316644036,37.5926578849317,40.2332479303164,38.3680180093695,35.4753005640343,36.5901273932872,40.2576484266942,43.9097391161982,38.6460251026428,43.8442408634684,42.0320973586216,37.8880844578332,47.7892864034281,44.7943646340187,40.2401063106308,34.4621525344338,30.9735776050932,34.3325606612474,36.6530836824739,39.2705967926231,35.6853277980204,39.8744897495687,34.8178674847612,37.4653812134309,40.3738625255316,44.8842460173787,43.5296688941241,43.1575354989427,37.87891372994,36.4288077224896,40.2829742780855,39.5903245292369,41.8698510695923,84.6911229480074,49.9681581685551,61.8190824175733
"1367466_at",23.5210384558585,22.5540155847657,22.3785477128945,22.1345529517096,23.2049201009415,24.3630238160912,20.242727788276,24.5426658470203,23.0463291645613,22.5970210917684,24.3780484982058,25.6270708024023,28.1421461099392,26.6458893421048,25.84503137872,24.2326191021917,23.4915126947288,25.8895676431831,26.1342759170134,28.60503166014,24.5728013093917,25.2195047261025,23.6594002444183,25.5526196650814,25.6847963916651,25.0653694429194,27.1117653633548,22.4938623630809,21.3699376051956,22.4537623554005,21.0686690981901,26.7851487691508,25.4920341593679,24.8760591731682,21.5014643314641,21.6792190152852,24.4000607948011,27.0351093481322,24.9979815524557,24.8404230742282,27.2209463018514,24.6000184054427,22.6968142599984,23.0959518356686,25.1297920153839,24.9201788105496,29.0894996436923,27.8712110069446
"1367467_at",58.756265713973,58.0990980374213,56.265639793367,52.4098097519327,57.1546176380201,55.4603999252621,50.0284045124715,57.5725818446049,57.6100194138315,66.3612154259445,55.675431740725,58.8638968887513,68.826715771117,70.1174174806171,61.1535561864189,61.9330247153683,63.9488170262168,63.0766196182611,66.9172257420422,72.2600134360461,64.1833868882998,68.2350281955643,70.9965324998727,62.5890202451006,68.0273599253379,72.0159017727832,63.8604883362293,57.1117765233492,53.7860281804562,56.7279152304013,60.0804020490608,64.2484877679977,63.295952076773,52.9105856658771,41.7673145614583,47.6029454827305,69.0848380124941,70.8161380449265,66.6302966942137,70.6785803090956,54.690219036811,58.5549757066879,62.5358470743833,73.6308647781784,58.9333699918933,70.5751348055282,55.5998952868684,50.3642457872568
"1367468_at",23.5226366926857,20.3254488923567,21.3474698164714,27.3072101967709,24.1683003808308,29.9768617145601,21.3371251182728,21.1223749953951,19.7063840488437,24.3825359369526,27.1900621812685,31.0208228981022,26.0682709440016,28.2663148756879,23.8648899858316,25.2961180762692,22.6118488457897,22.7678378121582,26.2784113712366,28.8868189641792,30.8743712410784,26.0075602285399,27.4286993094268,21.5824237145382,28.3734132726208,32.6128283858485,28.3364215088905,30.8203245566847,28.5108921328421,24.5111282667288,25.457093647459,28.1584777062232,26.2189630882313,23.2179091274062,20.5045022869703,24.2386718449199,25.4908628841466,35.2547886335839,27.9456098482488,31.8459979462522,22.0657228737235,23.5656432405899,27.4183775958136,25.6415932324374,28.873977640031,24.6074268710881,25.8445672005633,21.8093703587386
"1367469_at",101.149387765878,106.897752548175,119.07426420757,102.685629996422,109.424954600576,127.659063808159,115.510803591747,112.151455547252,123.680447947375,110.187669171745,118.8444706689,112.163613376799,126.7975009563,104.527080711028,120.747508158091,111.823831616058,113.402973523176,117.956075936105,108.26191852056,130.163565546454,109.215586610242,108.772685856837,111.310707716899,114.365330336341,106.686027638067,116.231132967094,107.854094613813,98.9264659102888,115.623001238864,103.12258564856,108.737466017053,119.785245622525,113.45231438302,103.318982844314,117.035316419485,106.881765217682,125.761864089358,127.241230705678,121.494790294922,130.864863375745,125.245537634718,116.503839308765,128.724313359163,109.283745150903,111.270845826046,119.715510912671,112.900945840497,111.248455687275
"1367470_at",22.8946722483697,22.9006201879326,25.2476432235397,22.3182262453663,18.9055558303474,25.5191922982594,27.4648809270793,24.2073248452434,33.9226770248804,24.5797998649692,30.2100934328835,23.7782296627029,38.0425790840612,31.0489920389024,36.288264470799,26.3972375711964,33.127026922374,30.0257062247988,32.3046784904771,34.5139304212671,34.8229649349772,29.6589027031337,28.8941832485212,33.7206192376679,35.7232976364218,34.8152208101893,31.8866411046089,29.0983855639039,31.1625444219672,28.4936185430103,31.9714832766132,37.1167245732634,37.0713601188158,34.6068825381402,37.1113673475445,29.5032121034507,26.6565471370365,32.3505766655361,29.0475765652735,26.1491493423957,27.8182437673273,26.2965451179682,25.523055436289,26.7119560207045,29.5128304396341,33.0336708270153,27.3067520647264,28.2212733043343
"1367471_at",13.7835229605602,17.5313065964275,15.3526834271115,16.2581191388351,15.7543954180696,14.7740836980136,15.6286144450324,15.1784911442258,17.4508151766421,15.6289310138704,17.4467793553779,15.4320810597135,16.2242802868471,17.9704854480271,18.9362857647308,15.9249607075633,15.6886706979866,17.5032205074632,18.8427899696256,19.2759319225781,18.4502184006875,17.2978801019969,17.5574430094354,20.5603790909432,18.3388816390335,20.8704289074907,19.9571837744686,16.1964689485722,16.3980660749672,15.3640643998729,16.4637297543177,19.4580837108738,18.060923450434,17.1475782475985,15.870950045171,16.5913107676608,16.9612871075454,20.6131907038175,15.5290503340236,17.0264056906388,14.4349422329026,13.7124547414287,16.1308782239352,15.9022393930709,17.0188077390636,20.8857471077077,18.7614874997776,19.2044166297322
